date,state,claim_volume
2021-10-26,HI,21498.0
2021-04-20,HI,77228.0
2021-05-27,PA,61754.0
2021-06-12,MD,28475.0
2021-03-09,MI,66591.0
2021-01-09,MD,22568.0
2021-02-12,FL,76529.0
2021-02-16,DC,54459.0
2021-02-25,NM,74507.0
2021-03-25,UT,49136.0
2021-01-28,AL,50976.0
2021-07-03,AL,87485.0
2021-03-26,ID,78217.0
2021-08-11,NC,98988.0
2021-01-12,HI,48451.0
2021-02-18,LA,44621.0
2021-03-08,VA,564.0
2021-07-03,AZ,48944.0
2021-10-18,NJ,9271.0
2021-04-19,SC,21466.0
2021-08-15,MI,26893.0
2021-09-25,SD,96239.0
2021-02-01,GA,89645.0
2021-01-18,NH,47611.0
2021-03-26,AR,60086.0
2021-08-24,MS,48055.0
2021-07-03,OH,22639.0
2021-05-15,MO,83782.0
2021-06-19,MT,20013.0
2021-04-10,NH,53687.0
2021-07-08,KY,6224.0
2021-05-04,NJ,74727.0
2021-06-03,PA,8859.0
2021-08-18,SD,10095.0
2021-06-29,OR,50837.0
2021-04-11,IL,20030.0
2021-02-28,SC,22419.0
2021-05-31,MN,70309.0
2021-07-11,MD,2673.0
2021-03-26,WV,50965.0
2021-06-22,ND,22928.0
2021-06-10,RI,81994.0
2021-05-28,VA,66841.0
2021-06-19,FL,14014.0
2021-07-14,OH,77336.0
2021-03-22,NH,16445.0
2021-07-07,CA,28134.0
2021-08-10,AL,52596.0
2021-01-11,OR,30837.0
2021-09-28,MS,42207.0
2021-03-18,NM,62055.0
2021-05-05,NC,3273.0
2021-02-07,TN,76067.0
2021-03-29,GA,83748.0
2021-02-01,CO,84449.0
2021-04-09,ND,61394.0
2021-03-19,WV,2999.0
2021-05-18,OK,98295.0
2021-01-04,TN,1869.0
2021-01-02,VA,40878.0
2021-08-27,DE,97479.0
2021-04-03,VT,7555.0
2021-04-29,ND,63579.0
2021-05-23,TN,27735.0
2021-08-01,WV,46717.0
2021-05-04,WA,3624.0
2021-04-12,AK,34476.0
2021-08-19,AK,49430.0
2021-05-03,IA,45651.0
2021-03-11,AK,95537.0
2021-09-24,MI,23004.0
2021-01-12,SD,29712.0
2021-04-05,NY,77770.0
2021-01-01,AK,9309.0
2021-01-30,IL,52780.0
2021-10-02,OH,28666.0
2021-07-13,FL,28949.0
2021-01-02,KS,12285.0
2021-04-23,DC,9228.0
2021-07-07,NE,47744.0
2021-01-08,AL,16233.0
2021-01-26,MD,17822.0
2021-07-01,VT,52224.0
2021-06-26,CO,20395.0
2021-05-17,DC,96263.0
2021-04-16,WI,7332.0
2021-09-17,NV,66344.0
2021-10-11,CT,16613.0
2021-03-21,ME,3812.0
2021-08-01,ME,79855.0
2021-07-04,WY,7879.0
2021-05-20,DC,78242.0
2021-10-14,KS,95965.0
2021-05-17,HI,83221.0
2021-05-02,PA,73340.0
2021-08-28,WY,14066.0
2021-05-31,WV,61640.0
2021-10-20,NY,51356.0
2021-05-25,MD,46780.0
